Name,Title,gender,race,School,department
"Shelley, Braxton",Stanley A. Marks and William H. Marks Assistant Professor at the Radcliffe Institute,M,African American,FAS,AAAS
"Sidanius, James",John Lindsley Professor of Psychology and of African and African American Studies,M,African American,FAS,AAAS
"Sollors, Werner",Henry B. and Anne M. Cabot Professor of English Literature and Professor of African and African American Studies,M,White,FAS,AAAS
"Sommor, Doris","Ira Jewell Williams, Jr., Professor of Romance Languages and Literatures and of African and African American Studies",F,White,FAS,AAAS
"Stauffer, John",Professor of English and of African and African American Studies,M,White,FAS,AAAS
"Terry, Brandon",Assistant Professor of African and African American Studies,M,African American,FAS,AAAS
"Thomas, Todne",Assistant Professor of African American Religions (HDS),F,African American,FAS,AAAS
"West, Cornel",Professor of the Practice of Public Philosophy,M,African American,FAS,AAAS
"Williams, David",Florence Sprague Norman and Laura Smart Norman Professor of Public Health,M,African American,FAS,AAAS
"Wilson, William",Lewis P. and Linda L. Geyser University Professor,M,African American,FAS,AAAS
"Becker, Anne",Maude and Lillian Presley Professor of Global Health and Social Medicine,F,White,FAS,ANTHRO
"Bernstein, Anya",John L. Loeb Associate Professor of the Social Sciences,F,White,FAS,ANTHRO
"Bestor, Theodore",Reischauer Institute Professor of Social Anthropology,M,White,FAS,ANTHRO
"Carrasco, David",Neil L. Rudenstine Professor for the Study of Latin Amer. in Fac. of Divinity/Arts and Sciences,M,White,FAS,ANTHRO
"Castaing-Taylor, Lucien",Professor of Visual Arts and of Anthropology,M,White,FAS,ANTHRO
"Caton, Steven",Khalid Bin Abdullah Bin Abdulrahman Al Saud Professor of Contemporary Arab Studies,M,White,FAS,ANTHRO
"Camaroff, Jean",Alfred North Whitehead Professor of African and African American Studies and of Anthropology,F,White,FAS,ANTHRO
"Camaroff, John",Hugh K. Foster Professor of African and African American Studies and of Anthropology,M,White,FAS,ANTHRO
"Der Manuelian, Peter",Barbara Bell Professor of Egyptology,M,White,FAS,ANTHRO
"Farmer, Paul",Kolokotrones University Professor of Global Health and Social Medicine,M,White,FAS,ANTHRO
"Fash, William",Bowditch Professor of Central American and Mexican Archaeology and Ethnology,M,White,FAS,ANTHRO
"Flad, Rowan",John E. Hudson Professor of Archaeology,M,White,FAS,ANTHRO
"Gone, Joseph",Professor of Anthropology and of Global Health and Social Medicine,M,White,FAS,ANTHRO
"Good, Byron",Professor of Medical Anthropology,M,White,FAS,ANTHRO
"Harkness, Nicholas",Professor of Anthropology,M,White,FAS,ANTHRO
"Jusionyte, Ieva",Assistant Professor of Anthropology and Social Studies,F,White,FAS,ANTHRO
"Keshavjee, Salmaan",Professor of Global Health and Social Medicine,M,Asian,FAS,ANTHRO
"Kleinman, Arthur",Esther and Sidney Rabb Professor of Anthropology in the Faculty of Arts and Sciences and Professor of Medical Anthropology in the Faculty of Medicine,M,White,FAS,ANTHRO
"Liebmann, Matt",Professor of Anthropology,M,White,FAS,ANTHRO
"Meadow, Richard",Senior Lecturer on Anthropology,M,White,FAS,ANTHRO
"Meiu, George Paul",John and Ruth Hazel Associate Professor of the Social Sciences,M,White,FAS,ANTHRO
"Puett, Michael",Walter C. Klein Professor of Chinese History and Professor of Anthropology,M,White,FAS,ANTHRO
"Reddy, Malavika",Assistant Professor of Anthropology,F,Asian,FAS,ANTHRO
"Subramanian, Ajantha",Professor of Anthropology,F,Asian,FAS,ANTHRO
"Ur, Jason",Professor of Anthropology,M,White,FAS,ANTHRO
"Urton, Gary",Dumbarton Oaks Professor of Pre-Columbian Studies,M,White,FAS,ANTHRO
"Warinner, Christina",Assistant Professor of Anthropology,F,White,FAS,ANTHRO
"Williams, Kaya",Assistant Professor,F,African American,FAS,ANTHRO
"Alcock, Charles",Donald H. Menzel Professor of Astrophysics,M,White,FAS,ASTRO
"Berger, Edo",Professor of Astronomy,M,White,FAS,ASTRO
"Charbonneau, David",Professor of Astronomy,M,White,FAS,ASTRO
"Chen, Xingang",Senior Lecturer on Astronomy,M,Asian,FAS,ASTRO
"Conroy, Charles",Professor of Astronomy,M,White,FAS,ASTRO
"de Mink, Selma",Associate Professor of Astronomy,F,White,FAS,ASTRO
"Eisenstein, Daniel",Professor of Astronomy,M,White,FAS,ASTRO
"Finkbeiner, Douglas",Professor of Astronomy and of Physics,M,White,FAS,ASTRO
"Goodman, Alyssa",Robert Wheeler Wilson Professor of Applied Astronomy,F,White,FAS,ASTRO
"Grindlay, Jonathan",Paine Professor of Practical Astronomy,M,White,FAS,ASTRO
"Hernquist, Lars",Mallinckrodt Professor of Astrophysics,M,White,FAS,ASTRO
"Johnson, John",Professor of Astronomy,M,African American,FAS,ASTRO
"Kirshner, Robert",Clowes Research Professor of Science,M,White,FAS,ASTRO
"Kovac, John",Professor of Astronomy and of Physics,M,White,FAS,ASTRO
"Loeb, Abraham","Frank B. Baird, Jr. Professor of Science",M,White,FAS,ASTRO
"Narayan, Ramesh",Thomas Dudley Cabot Professor of the Natural Sciences,M,Asian,FAS,ASTRO
"Oberg, Karin",Professor of Astronomy,F,White,FAS,ASTRO
"Sadler, Philip",Frances W. Wright Senior Lecturer on Celestial Navigation and Astronomy in the Department of Astronomy,M,White,FAS,ASTRO
"Sasselov, Dimitar",Phillips Professor of Astronomy,M,White,FAS,ASTRO
"Shapiro, Irwin",Senior Lecturer on Anthropology,M,White,FAS,ASTRO
"Stubbs, Christopher","Dean of Science, Samuel C. Moncher Professor of Physics and Astronomy",M,White,FAS,ASTRO
"McKenna, Catherine",Margaret Brooks Robinson Professor of Celtic Languages and Literatures,F,White,FAS,CELTIC
"Nagy, Joseph",Henry L. Shattuck Professor of Irish Studies,M,White,FAS,CELTIC
"Sumner, Natasha",Associate Professor of Celtic Languages and Literatures,F,White,FAS,CELTIC
"Aizenberg, Joanna","Amy Smith Berylson Professor of Materials Science, Professor of Chemistry and Chemical Biology",F,White,FAS,CHEM
"Anderson, James",Philip S. Weld Professor of Atmospheric Chemistry,F,White,FAS,CHEM
"Balskus, Emily",Professor of Chemistry and Chemical Biology,F,White,FAS,CHEM
"Betley, Theodore",Erving Professor of Chemistry,M,White,FAS,CHEM
"Cohen, Adam",Professor of Chemistry and Chemical Biology and of Physics,M,White,FAS,CHEM
"Friend, Cynthia",Theodore William Richards Professor of Chemistry and Professor of Materials Science,F,White,FAS,CHEM
"Gordon, Roy",Thomas Dudley Cabot Professor of Chemistry and Professor of Materials Science,M,White,FAS,CHEM
"Heller, Eric",Abbott and James Lawrence Professor of Chemistry and Professor of Physics,M,White,FAS,CHEM
"Jacobsen, Eric",Sheldon Emery Professor of Chemistry,M,White,FAS,CHEM
"Kahne, Dan",Higgins Professor of Chemistry,M,White,FAS,CHEM
"Keutsch, Frank",Stonington Professor of Engineering and Atmospheric ScienceProfessor of Chemistry and Chemical Biology,M,White,FAS,CHEM
"Liau, Brian",Assistant Professor of Chemistry and Chemical Biology,M,Asian,FAS,CHEM
"Lieber, Charles",Joshua and Beth Friedman University Professor,M,White,FAS,CHEM
"Liu, David",Thomas Dudley Cabot Professor of the Natural Sciences,M,Asian,FAS,CHEM
"Mason, Jarad",Assistant Professor of Chemistry and Chemical Biology,M,White,FAS,CHEM
"Myers, Andrew",Amory Houghton Professor of Chemistry and Chemical Biology,M,White,FAS,CHEM
"Ni, Kang-Kuen",Morris Kahn Associate Professor of Chemistry and Chemical Biology and of Physics,F,Asian,FAS,CHEM
"Nocera, Daniel",Patterson Rockwood Professor of Energy,M,White,FAS,CHEM
"Park, Hongkun","Mark Hyman, Jr. Professor of Chemistry and Professor of Physics",M,Asian,FAS,CHEM
"Schreiber, Stuart",Morris Loeb Professor of Chemistry and Chemical Biology,M,White,FAS,CHEM
"Shair, Matthew",Professor of Chemistry and Chemical Biology,M,White,FAS,CHEM
"Shakhnovich, Eugene",Professor of Chemistry and Chemical Biology,M,White,FAS,CHEM
"Szostak, Jack",Professor of Chemistry and Chemical Biology,M,White,FAS,CHEM
"Whitesides, George",Woodford L. and Ann A. Flowers University Professor,M,White,FAS,CHEM
"Woo, Christina",Assistant Professor of Chemistry and Chemical Biology,F,Asian,FAS,CHEM
"Xu, Suyang",Assistant Professor of Chemistry and Chemical Biology,M,Asian,FAS,CHEM
"Zhuang, Xiaowei","David B. Arnold, Jr. Professor of Science",F,Asian,FAS,CHEM
"Angelov, Dimiter",Dumbarton Oaks Professor of Byzantine History,M,White,FAS,CLASSICS
"Bazzanna, Giovanni",Professor of New testament,M,White,FAS,CLASSICS
"Bershadsky, Natasha",Lecturer on Classics,F,White,FAS,CLASSICS
"Coleman, Kathleen",James Loeb Professor of the Classics,F,White,FAS,CLASSICS
"Dench, Emma",McLean Professor of Ancient and Modern History and of the Classics,F,White,FAS,CLASSICS
"Dourou, Calliopi",Preceptor in Modern Greek,F,White,FAS,CLASSICS
"Ebbinghaus, Susanne",Lecturer on the Classics,F,White,FAS,CLASSICS
"Elmer, David",Eliot Professor of Greek Literature,M,White,FAS,CLASSICS
"Hudson, Jared",Associate Professor of the Classics,M,White,FAS,CLASSICS
"Konieczny, Michael",Lecturer on greek and Latin Literature,M,White,FAS,CLASSICS
"Kosmin, Paul",Professor of the Classics,M,White,FAS,CLASSICS
"Lanni, Adriaan",Touroff-Glueck Professor of Law,F,White,FAS,CLASSICS
"Libby, Brigitte",Lecturer on Classics,F,White,FAS,CLASSICS
"Livingston, Ivy",Preceptor in the Classics,F,African American,FAS,CLASSICS
"Love, Rachel",Assistant Professor of Classics,F,White,FAS,CLASSICS
"Mellen, Gregory",Lecturer on the Classics,M,White,FAS,CLASSICS
"Morgan, Harry",College Fellow in the Department of the Classics,M,White,FAS,CLASSICS
"Nagy, Gregory",Francis Jones Professor of Classical Greek Literature and Professor of Comparative Literature,M,White,FAS,CLASSICS
"Rau, Jeremy",Professor of Linguistics and of the Classics,M,White,FAS,CLASSICS
"Riehle, Alexander",Assistant Professor of the Classics,M,White,FAS,CLASSICS
"Roilos, Panagiotis",George Seferis Professor of Modern Greek Studies and of Comparative Literature,M,White,FAS,CLASSICS
"Schiefsky, Mark",C. Lois P. Grove Professor of the Classics,M,White,FAS,CLASSICS
"Staehli, Adrian",Professor of Classical Archaeology,M,White,FAS,CLASSICS
"Thomas, Richard",George Martin Lane Professor of the Classics,M,White,FAS,CLASSICS
"Trettel, Adam",College Fellow in the Department of the Classics,M,White,FAS,CLASSICS
"Weiss, Naomi",Gardner Cowles Associate Professor of the Humanities,F,White,FAS,CLASSICS
"Ziolkowski, Jan",Arthur Kingsley Porter Professor of Medieval Latin,M,White,FAS,CLASSICS
"Damrosch, David",Ernest Bernbaum Professor of Literature,M,White,FAS,COMPLIT
"Bhabha, Homi",Anne F. Rothenberg Professor of the Humanities,M,Asian,FAS,COMPLIT
"Elmer, David",Professor of the Classics; Affiliate Faculty in Comparative Literature,M,White,FAS,COMPLIT
"Engell, James",Gurney Professor of English Literature and Professor of Comparative Literature,M,White,FAS,COMPLIT
"Giron, Luis",Professor of Romance Languages and Literatures and of Comparative Literature,M,White,FAS,COMPLIT
"Goldberg, Rita",Lecturer in Comparative Literature,F,White,FAS,COMPLIT
"Hamilton, John","William R. Kenan, Jr. Professor of Comparative Literature and of Germanic Languages and Literatures",M,White,FAS,COMPLIT
"Leafgren, Luke",Lecturer on Comparative Literature,M,White,FAS,COMPLIT
"Lienau, Annette",Assistant Professor of Comparative Literature,F,White,FAS,COMPLIT
"Lionnet, Francoise","Professor of Romance Languages and Literatures, Comparative Literature, African and African American Studies in Residence, and Women, Gender and Sexuality",F,White,FAS,COMPLIT
"Naddaff, Sandra",Senior Lecturer on Literature and Comparative Literature,F,White,FAS,COMPLIT
"Nagy, Gregory",Francis Jones Professor of Classical Greek Literature and Professor of Comparative Literature,M,White,FAS,COMPLIT
"Piechocki, Katharina",Associate Professor of Comparative Literature,F,White,FAS,COMPLIT
"Puchner, Martin",Byron and Anita Wien Professor of Drama and of English and Comparative Literature,M,White,FAS,COMPLIT
"Roilos, Panagiotis",George Seferis Professor of Modern Greek Studies and of Comparative Literature,M,White,FAS,COMPLIT
"Schnapp, Jeffrey",Carl A. Pescosolido Professor of Romance Languages and Literatures and of Comparative Literature,M,White,FAS,COMPLIT
"Shell, Marc",Irving Babbitt Professor of Comparative Literature and Professor of English,M,White,FAS,COMPLIT
"Siskind, Mariano",Professor of Romance Languages and Literatures and of Comparative Literature,M,White,FAS,COMPLIT
"Sorenson, Diana",James F. Rothenberg Professor of Romance Languages and Literatures and of Comparative Literature,F,White,FAS,COMPLIT
"Stern, David",Harry Starr Professor of Classical and Modern Jewish and Hebrew Literature and Professor of Comparative Literature,M,White,FAS,COMPLIT
"Thornber, Karen",Harry Tuchman Levin Professor in Literature,F,White,FAS,COMPLIT
"Wang, David",Edward C. Henderson Professor of Chinese Literature and of Comparative Literature,M,Asian,FAS,COMPLIT
"Weir, Justin",Curt Hugo Reisinger Professor of Slavic Languages and Literatures and Professor of Comparative Literature,M,Asian,FAS,COMPLIT
"Anderson, James",Philip S. Weld Professor of Atmospheric Chemistry,M,White,FAS,EPS
"Bloxham, Jeremy",Mallinckrodt Professor of Geophysics,M,White,FAS,EPS
"Denolle, Marine",Assistant Professor of Earth and Planetary Sciences,F,White,FAS,EPS
"Farrell, Brian",Robert P. Burden Professor of Meteorology,M,White,FAS,EPS
"Fischer, Rebecca",Clare Boothe Luce Assistant Professor of Earth and Planetary Sciences,F,White,FAS,EPS
"Fu, Roger",Assistant Professor of Earth and Planetary Sciences,M,Asian,FAS,EPS
"Holdren, John",Teresa and John Heinz Professor of Environmental Policy,M,White,FAS,EPS
"Huybers, Peter",Professor of Earth and Planetary Sciences and of Environmental Science and Engineering,M,White,FAS,EPS
"Ishii, Miaki",Professor of Earth and Planetary Sciences,F,Asian,FAS,EPS
"Jacob, Daniel",Vasco McCoy Family Professor of Atmospheric Chemistry and Environmental Engineerin,M,White,FAS,EPS
"Jacobsen, Stein",Professor of Geochemistry,M,White,FAS,EPS
"Johnston, David",Professor of Earth and Planetary Sciences,M,White,FAS,EPS
"Keutsch, Frank","Stonington Professor of Engineering and Atmospheric Science, Professor of Chemistry and Chemical Biology",M,White,FAS,EPS
"Knoll, Andrew",Fisher Professor of Natural History and Professor of Earth and Planetary Sciences,M,White,FAS,EPS
"Kuang, Zhiming",Gordon McKay Professor of Atmospheric and Environmental Science,M,Asian,FAS,EPS
"Langmuir, Charles",Higgins Professor of Geochemistry,M,White,FAS,EPS
"Linz, Marianna",Assistant Professor of Environmental Science and Engineering and of Earth and Planetary Sciences,F,White,FAS,EPS
"Martin, Scot",Gordon McKay Professor of Environmental Chemistry,M,White,FAS,EPS
"McColl, Kaighin",Assistant Professor of Earth and Planetary Sciences and of Environmental Science and Engineering,M,White,FAS,EPS
"McElroy, Michael",Gilbert Butler Professor of Environmental Studies,M,White,FAS,EPS
"Meade, Brendan",Professor of Earth and Planetary Sciences,M,White,FAS,EPS
"Mitrovica, Jerry","Frank B. Baird, Jr. Professor of Science",M,White,FAS,EPS
"Oreskes, Naomi",Professor of the History of Science,F,White,FAS,EPS
"Pearson, Ann",Murray and Martha Ross Professor of Environmental Sciences,F,White,FAS,EPS
"Rice, James",Mallinckrodt Professor of Engineering Sciences and Geophysics,M,White,FAS,EPS
"Schrag, Daniel",Sturgis Hooper Professor of Geology and Professor of Environmental Science and Engineering,M,White,FAS,EPS
"Shaw, John",Harry C. Dudley Professor of Structural and Economic Geology and Professor of Environmental Science and Engineering,M,White,FAS,EPS
"Sunderland, Elsie","Gordon McKay Professor of Environmental Chemistry, Affiliated Faculty Member of Earth and Planetary Sciences",F,White,FAS,EPS
"Tziperman, Eli","Pamela and Vasco McCoy, Jr. Professor of Oceanography and Applied Physics",M,White,FAS,EPS
"Wofsy, Steven",Abbott Lawrence Rotch Professor of Atmospheric and Environmental Science,M,White,FAS,EPS
"Wordsworth, Robin","Associate Professor of Environmental Science and Engineering, Affiliated Faculty Member of Earth and Planetary Sciences",M,White,FAS,EPS
"Abe, Ryuichi",Reischauer Institute Professor of Japanese Religions,M,Asian,FAS,EALC
"Atherton, David",Assistant Professor of East Asian Languages and Civilizations,M,White,FAS,EALC
"Bol, Peter",Charles H. Carswell Professor of East Asian Languages and Civilizations,M,White,FAS,EALC
"Cai, Jing",Interim Preceptor in Chinese,F,Asian,FAS,EALC
"Chen, Xiaocheng",Drill Instructor in Chinese,F,Asian,FAS,EALC
"Cranston, Edwin",Professor of Japanese Literature,M,White,FAS,EALC
"Eckert, Carter",Yoon Se Young Professor of Korean History,M,White,FAS,EALC
"Elliott, Mark",Mark Schwartz Professor of Chinese and Inner Asian History,M,White,FAS,EALC
"Eziz, Gulnar",Preceptor in Yghur and Chaghatay,F,Asian,FAS,EALC
"Fan, Ya Ting",Preceptor in East Asian Languages and Civilizations,F,Asian,FAS,EALC
"Fu, Chao",Drill Instructor in Chinese,M,Asian,FAS,EALC
"Gordon, Andrew",Lee and Juliet Folger Fund Professor of History,M,White,FAS,EALC
"Graham, Tomoko",Preceptor in East Asian Languages and Civilizations,F,Asian,FAS,EALC
"Gyatso, Janet",Hershey Professor of Buddhist Studies,F,Asian,FAS,EALC
"Hardacre, Helen",Reischauer Institute Professor of Japanese Religions and Society,F,White,FAS,EALC
"Hou, Yiyuan",Drill Instructor in Chinese,F,Asian,FAS,EALC
"Howell, David",Robert K. and Dale J. Weary Professor of Japanese History,M,White,FAS,EALC
"Jacobsen, Wesley",Professor of the Practice of the Japanese Language and Director of the Japanese Language Program,M,White,FAS,EALC
"Jung, Heeyeong",Preceptor in East Asian Languages and Civilizations,F,Asian,FAS,EALC
"Kageyama-Hunt, Yuko",Senior Preceptor in Japanese,F,Asian,FAS,EALC
"Kelly, Thomas",Assistant Professor of East Asian Languages and Civilizations,M,White,FAS,EALC
"Kim, Hi-Sun",Senior Preceptor in Korean and Director of the Korean Language Program,F,Asian,FAS,EALC
"Kim, Sun Joo",Harvard-Yenching Professor of Korean History,F,Asian,FAS,EALC
"Koss, Daniel",Lecturer on East Asian Languages and Civilizations,M,White,FAS,EALC
"Kuriyama, Shigehisa",Reischauer Institute Professor of Cultural History,M,Asian,FAS,EALC
"Lee, Jee Hyun",Drill Instructor in Korean,F,Asian,FAS,EALC
"Lee, Joungmok",Preceptor in Korean,M,Asian,FAS,EALC
"Li, Jie",John L. Loeb Associate Professor of the Humanities,F,Asian,FAS,EALC
"Li, Wai-yee",1879 Professor of Chinese Literature,F,Asian,FAS,EALC
"Liu, Jennifer Li-Chia",Professor of the Practice in Language Pedagogy and Director of the Chinese Language Program,F,Asian,FAS,EALC
"McCormick, Melissa",Professor of Japanese Art and Culture,F,White,FAS,EALC
"Miura, takuma",Drill Instructor in Japanese,M,Asian,FAS,EALC
"Miyagawa, Miki",Drill Instructor in Japanese,F,Asian,FAS,EALC
"Ngo, Binh",Senior Preceptor in Vietnamese and Director of the Vietnamese Program,M,Asian,FAS,EALC
"Noh, Ahsil",Drill Instructor in Korean,F,Asian,FAS,EALC
"Park, Si Nae",Associate Professor of East Asian Languages and Civilizations,F,Asian,FAS,EALC
"Puett, Michael",Walter C. Klein Professor of Chinese History,M,White,FAS,EALC
"Robson, James",James C. Kralik and Yunli Lou Professor of East Asian Languages and Civilizations,M,White,FAS,EALC
"Sena, David",Preceptor in East Asian Languages and Civilizations,M,White,FAS,EALC
"Shao, Xueyin",Preceptor in East Asian Languages and Civilizations,F,Asian,FAS,EALC
"Shingu, Ikue",Preceptor in East Asian Languages and Civilizations,F,Asian,FAS,EALC
"Szonyi, Michael",Frank Wen-Hsiung Wu Memorial Professor of Chinese History,M,White,FAS,EALC
"Thornber, Karen",Harry Tuchman Levin Professor in Literature and Professor of East Asian Languages and Civilizations,F,White,FAS,EALC
"Tian, Xiaofei",Professor of Chinese Literature,F,Asian,FAS,EALC
"van der Kuijp, Leonard",Professor of Tibetan and Himalayan Studies,M,White,FAS,EALC
"Wang, Dan",Preceptor in East Asian Languages and Civilizations,F,Asian,FAS,EALC
"Wang, David",Edward C. Henderson Professor of Chinese Literature and of Comparative Literature,M,Asian,FAS,EALC
"Yang, Bin",Preceptor in Chinese,M,Asian,FAS,EALC
"Yang, Shunan",Drill Instructor in Chinese,F,Asian,FAS,EALC
"Ying, Jie",Preceptor in East Asian Languages and Civilizations,F,Asian,FAS,EALC
"Yoda, Tomiko",Takashima Professor of Japanese Humanities,F,Asian,FAS,EALC
"Yoshino, Junya",Drill Instructor in Japanese,M,Asian,FAS,EALC
"Yu, Xiaoshi",Preceptor in East Asian Languages and Civilizations,F,Asian,FAS,EALC
"Zahlten, Alexander",Associate Professor of East Asian Languages and Civilizations,M,White,FAS,EALC
"Zhang, Mo",Preceptor in East Asian Languages and Civilizations,F,Asian,FAS,EALC
"Zhao, Jie",Preceptor in East Asian Languages and Civilizations,F,Asian,FAS,EALC
"Alesina, Alberto",Nathaniel Ropes Professor of Political Economy,M,White,FAS,ECON
"Andrews, Isaiah",Professor of Economics,M,White,FAS,ECON
"Antras, Pol",Robert G. Ory Professor of Economics,M,White,FAS,ECON
"Barro, Robert",Paul M. Warburg Professor of Economics,M,White,FAS,ECON
"Breza, Emily",Assistant Professor of Economics,F,White,FAS,ECON
"Campbell, John",Morton L. and Carole S. Olshan Professor of Economics,M,White,FAS,ECON
"Chetty, Nadarajan",William A. Ackman Professor of Public Economics,M,Asian,FAS,ECON
"Chodorow-Reich, Gabriel",Associate Professor of Economics,M,White,FAS,ECON
"Cooper, Richard",Maurits C. Boas Professor of International Economics,M,White,FAS,ECON
"Cutler, David",Otto Eckstein Professor of Applied Economics,M,White,FAS,ECON
"Dell, Melissa",Professor of Economics,F,White,FAS,ECON
"Dynan, Karen",Professor of the Practice of Economics,F,White,FAS,ECON
"Enke, Benjamin",Assistant Professor of Economics,M,White,FAS,ECON
"Farhi, Emmanuel",Robert C. Waggoner Professor of Economics,M,White,FAS,ECON
"Foote, Christopher",Professor of the Practice of Economics,M,White,FAS,ECON
"Freeman, Richard",Herbert S. Ascherman Professor of Economics,M,White,FAS,ECON
"Friedman, Benjamin",William Joseph Maier Professor of Political Economy,M,White,FAS,ECON
"Fryer, Roland",Professor of Economics,M,African American,FAS,ECON
"Furman, Jason",Professor of the Practice of Economic Policy,M,White,FAS,ECON
"Gabaix, Xavier",Pershing Square Professor of Economics and Finance,M,White,FAS,ECON
"Garber, Alan",Mallinckrodt Professor of Health Care Policy,M,White,FAS,ECON
"Glaeser, Edward",Fred and Eleanor Glimp Professor of Economics,M,White,FAS,ECON
"Goldin, Claudia",Henry Lee Professor of Economics,F,White,FAS,ECON
"Golub, Benjamin",Associate Professor of Economics,M,White,FAS,ECON
"Gopinath, Gita",John Zwaanstra Professor of International Studies and of Economics,F,Asian,FAS,ECON
"Green, Jerry",David A Wells Professor of Political Economy,M,White,FAS,ECON
"Hart, Oliver",Lewis P. And Linda L. Geyser University Professor,M,White,FAS,ECON
"Helpman, Elhanan",Galen L. Stone Professor of International Trade,M,White,FAS,ECON
"Hendren, Nathaniel",Professor of Economics,M,White,FAS,ECON
"Jorgenson, Dale",Samuel W. Morris University Professor,M,White,FAS,ECON
"Kalouptsidi, Myrto",Assistant Professor of Economics,F,White,FAS,ECON
"Katz, Lawrence",Elisabeth Allison Professor of Economics,M,White,FAS,ECON
"Kremer, Michael",Gates Professor of Developing Societies,M,White,FAS,ECON
